make,model,year,km driven,Ownership,Transmission,Engine,fuel,loaction,reg year,reg_year_int,car_age,price
Mercedes-Benz,CLA 200 CGI Sport,2018.0,42000.0,First Owner,Automatic,1991.0,Petrol,New Delhi,Jul 2018,2018.0,7.0,2250000.0
Honda,Amaze 2nd Gen S,2017.0,56807.0,First Owner,Manual,1199.0,Petrol,Kochi,Jan 2018,2018.0,8.0,474000.0
Hyundai,Grand i10 1.2 Kappa Sportz BSIV,2022.0,21590.0,First Owner,Manual,1197.0,Petrol,Kochi,May 2022,2022.0,3.0,612000.0
Nissan,Magnite XE,2021.0,18783.0,First Owner,Manual,999.0,Petrol,Kochi,Sept 2021,2021.0,4.0,476999.99999999994
Land,Rover Discovery Sport SD4 HSE Luxury 7S,2016.0,76000.0,Second Owner,Automatic,2179.0,Diesel,New Delhi,Jul 2016,2016.0,9.0,1895000.0
Maruti,Celerio VXI AMT,2015.0,60316.0,First Owner,Automatic,998.0,Petrol,Kochi,Jul 2015,2015.0,10.0,368000.0
Hyundai,Venue SX Opt Turbo DCT,2023.0,5432.0,First Owner,Automatic,998.0,Petrol,Kochi,Feb 2024,2024.0,2.0,1166000.0
Nissan,Magnite XE BSVI,2022.0,10647.0,First Owner,Manual,999.0,Petrol,Kochi,Sept 2022,2022.0,3.0,529000.0
Ford,Endeavour Titanium Plus 4X2,2020.0,55000.0,First Owner,Automatic,2198.0,Diesel,New Delhi,Jul 2020,2020.0,5.0,2895000.0
Tata,Punch Adventure CNG,2023.0,32125.0,First Owner,Manual,1199.0,CNG,Jaipur,Sept 2023,2023.0,2.0,737000.0
Kia,Seltos HTK Plus iMT,2021.0,21903.0,First Owner,Manual,1497.0,Petrol,Jaipur,Jan 2022,2022.0,4.0,1080000.0
Renault,KWID 1.0 AMT RXT,2022.0,30864.0,Second Owner,Automatic,999.0,Petrol,Jaipur,Aug 2022,2022.0,3.0,413999.99999999994
Volkswagen,Vento 1.5 TDI Highline Plus,2017.0,100000.0,Second Owner,Manual,1498.0,Diesel,Jaipur,2017,,8.0,623000.0
Kia,Seltos HTX IVT,2021.0,93360.0,First Owner,Automatic,1497.0,Petrol,Jaipur,Jun 2021,2021.0,4.0,1035000.0
Toyota,Glanza V,2021.0,41445.0,First Owner,Manual,1197.0,Petrol,Jaipur,Jan 2022,2022.0,4.0,694000.0
Honda,Amaze S i-Vtech,2015.0,44859.0,Second Owner,Manual,1198.0,Petrol,Jaipur,Oct 2015,2015.0,10.0,367000.0
